question_text,option_1,option_2,option_3,option_4,correct_index,difficulty,tags
"If two fair dice are rolled, what is probability that sum is 8?",5/36,6/36,4/36,5/6,1,medium,probability
"If two fair dice are rolled, what is probability that sum is 9?",4/36,5/36,3/36,4/6,1,medium,probability
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,medium,logic
"Sequence: 9, 14, 18, 22, ? What is next?",27,28,26,29,1,medium,logic
"If an array is sorted and then reversed, what is time complexity for worst-case search using binary search?",O(log n),O(n),O(n log n),O(1),1,easy,algorithmic
"Product X price increases by 35%. If original expenditure was $100, new expenditure is $?",135,148,128,142,1,easy,math
Synonym of 'quick' is:,rapid,slow,small,empty,1,medium,verbal
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,medium,logic
"If 5 items cost $129, what is the cost of 13 items?",335.4,336.4,333.4,340.4,1,easy,math
"If two fair dice are rolled, what is probability that sum is 8?",5/36,6/36,4/36,5/6,1,hard,probability
"A process completes a job in 117 hours. If 4 identical processes work together, how long will they take?",23.4,11.7,35.1,46.8,1,easy,math
"If every 3rd person is selected from a queue of 84, how many are selected?",28,29,28,27,1,medium,logic
"Sequence: 2, 4, 6, 11, ? What is next?",13,14,12,15,1,medium,logic
"Product X price increases by 28%. If original expenditure was $100, new expenditure is $?",128,141,122,134,1,medium,math
"If two fair dice are rolled, what is probability that sum is 6?",5/36,6/36,4/36,5/6,1,hard,probability
"Sequence: 1, 5, 6, 11, ? What is next?",15,16,14,17,1,easy,logic
"If P% of a number is 47.25 and Q% of the same number is 18.9, what is P:Q?",25:10,10:25,50:10,25:20,1,easy,math
"If every 3rd person is selected from a queue of 95, how many are selected?",31,32,32,31,1,easy,logic
"If every 3rd person is selected from a queue of 62, how many are selected?",20,21,21,20,1,easy,logic
"If an array is sorted and then reversed, what is time complexity for worst-case search using binary search?",O(log n),O(n),O(n log n),O(1),1,medium,algorithmic
A train travels at 51 km/h and covers a distance in 4 hours. What is the distance?,204,214,199,209,1,hard,math
Logic default,a,b,c,d,1,hard,logic
Choose the best inference from: All swans in the lake are white.,All white birds are swans.,Some swans are white.,No swans are black.,All swans are black.,2,hard,verbal
"If an array is sorted and then reversed, what is time complexity for worst-case search using binary search?",O(log n),O(n),O(n log n),O(1),1,hard,algorithmic
"Sequence: 6, 7, 10, 13, ? What is next?",14,15,13,16,1,medium,logic
"Find the odd one out: apple, spinach, grape, banana",apple,spinach,grape,banana,2,hard,logic
"If two fair dice are rolled, what is probability that sum is 10?",3/36,4/36,2/36,3/6,1,medium,probability
"If two fair dice are rolled, what is probability that sum is 9?",4/36,5/36,3/36,4/6,1,hard,probability
Choose the grammatically correct sentence:,She don't like it.,She doesn't like it.,She do not like it.,She doesn't likes it.,2,hard,verbal
Choose the correct sentence:,He has less books than before.,He has fewer books than before.,Both are correct,Both are incorrect,2,hard,verbal
"If every 3rd person is selected from a queue of 38, how many are selected?",12,13,13,12,1,hard,logic
"If two fair dice are rolled, what is probability that sum is 7?",6/36,7/36,5/36,6/6,1,easy,probability
"If a number increases by 49% and then decreases by 20%, the net change is closest to?",19.2%,29%,69%,20.2%,1,medium,math
"A process completes a job in 80 hours. If 3 identical processes work together, how long will they take?",26.67,13.34,40.01,53.34,1,medium,math
"Find the odd one out: apple, spinach, pear, carrot",apple,spinach,pear,carrot,2,medium,logic
"If two fair dice are rolled, what is probability that sum is 10?",3/36,4/36,2/36,3/6,1,hard,probability
"If every 3rd person is selected from a queue of 45, how many are selected?",15,16,15,14,1,medium,logic
"If 5 items cost $156, what is the cost of 13 items?",405.6,406.6,403.6,410.6,1,hard,math
"Product X price increases by 14%. If original expenditure was $100, new expenditure is $?",114,125,108,120,1,medium,math
A train travels at 87 km/h and covers a distance in 6 hours. What is the distance?,522,532,517,538,1,medium,math
"Find the odd one out: banana, spinach, grape, pear",banana,spinach,grape,pear,2,hard,logic
"If two fair dice are rolled, what is probability that sum is 9?",4/36,5/36,3/36,4/6,1,easy,probability
"If the ratio of A:B is 71:2 and B:C is 7:7, what is A:C?",71:2.0,72:2.0,71:3.0,71:1.0,1,easy,math
"If 5 items cost $37, what is the cost of 13 items?",96.2,97.2,94.2,101.2,1,easy,math
"If 5 items cost $60, what is the cost of 13 items?",156.0,157.0,154.0,161.0,1,hard,math
"If two fair dice are rolled, what is probability that sum is 7?",6/36,7/36,5/36,6/6,1,hard,probability
"If every 3rd person is selected from a queue of 14, how many are selected?",4,5,5,4,1,hard,logic
"Sequence: 3, 5, 7, 10, ? What is next?",12,13,11,14,1,hard,logic
Choose the correct sentence:,He has less books than before.,He has fewer books than before.,Both are correct,Both are incorrect,2,easy,verbal
"Sequence: 5, 7, 12, 16, ? What is next?",18,19,17,20,1,hard,logic
"A process completes a job in 102 hours. If 2 identical processes work together, how long will they take?",34.0,17.0,51.0,68.0,1,easy,math
Logic default,a,b,c,d,1,easy,logic
"Find the odd one out: grape, banana, carrot, pear",grape,banana,carrot,pear,3,medium,logic
"Find the odd one out: pear, grape, apple, spinach",pear,grape,apple,spinach,4,hard,logic
"Product X price increases by 13%. If original expenditure was $100, new expenditure is $?",113,124,107,119,1,medium,math
Synonym of 'sparse' is:,empty,scant,slow,small,2,medium,verbal
"If two fair dice are rolled, what is probability that sum is 11?",2/36,3/36,1/36,2/6,1,hard,probability
Logic default,a,b,c,d,1,medium,logic
"If a number increases by 47% and then decreases by 19%, the net change is closest to?",19.07%,28%,66%,20.07%,1,easy,math
"Average of five numbers is 68. If one number 39 is replaced by 41, new average is?",68.4,69.4,67.9,70.4,1,medium,math
Choose the grammatically correct sentence:,She don't like it.,She doesn't like it.,She do not like it.,She doesn't likes it.,2,hard,verbal
"If two fair dice are rolled, what is probability that sum is 8?",5/36,6/36,4/36,5/6,1,medium,probability
Synonym of 'quick' is:,slow,rapid,empty,small,2,medium,verbal
"If every 3rd person is selected from a queue of 63, how many are selected?",21,22,21,20,1,easy,logic
Logic default,a,b,c,d,1,hard,logic
"A process completes a job in 29 hours. If 4 identical processes work together, how long will they take?",14.5,7.25,21.75,29.0,1,easy,math
Logic default,a,b,c,d,1,easy,logic
"Sequence: 2, 6, 8, 10, ? What is next?",14,15,13,16,1,easy,logic
Choose the correct sentence:,He has less books than before.,He has fewer books than before.,Both are correct,Both are incorrect,2,medium,verbal
"A process completes a job in 33 hours. If 5 identical processes work together, how long will they take?",11.0,5.5,16.5,22.0,1,medium,math
"Find the odd one out: banana, apple, grape, spinach",banana,apple,grape,spinach,4,easy,logic
"Average of five numbers is 75. If one number 23 is replaced by 95, new average is?",89.4,90.4,88.9,91.4,1,hard,math
"If every 3rd person is selected from a queue of 68, how many are selected?",22,23,23,22,1,easy,logic
"If a number increases by 16% and then decreases by 11%, the net change is closest to?",3.24%,5%,27%,4.24%,1,hard,math
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,hard,logic
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,medium,logic
"If two fair dice are rolled, what is probability that sum is 8?",5/36,6/36,4/36,5/6,1,medium,probability
Logic default,a,b,c,d,1,medium,logic
"Average of five numbers is 76. If one number 41 is replaced by 87, new average is?",85.2,86.2,84.7,87.2,1,hard,math
"A process completes a job in 114 hours. If 2 identical processes work together, how long will they take?",57.0,28.5,85.5,114.0,1,easy,math
Synonym of 'sparse' is:,empty,small,scant,slow,3,hard,verbal
"If an array is sorted and then reversed, what is time complexity for worst-case search using binary search?",O(log n),O(n),O(n log n),O(1),1,medium,algorithmic
Choose the grammatically correct sentence:,She don't like it.,She doesn't like it.,She do not like it.,She doesn't likes it.,2,medium,verbal
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,medium,logic
"Find the odd one out: banana, spinach, pear, grape",banana,spinach,pear,grape,2,easy,logic
"If two fair dice are rolled, what is probability that sum is 8?",5/36,6/36,4/36,5/6,1,medium,probability
"Average of five numbers is 69. If one number 93 is replaced by 92, new average is?",68.8,69.8,68.3,70.8,1,easy,math
"If P% of a number is 2.5 and Q% of the same number is 0.5, what is P:Q?",25:5,5:25,50:5,25:10,1,hard,math
"If the ratio of A:B is 53:3 and B:C is 4:7, what is A:C?",53:5.25,54:5.25,53:6.25,53:4.25,1,hard,math
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,easy,logic
Synonym of 'ancient' is:,slow,old,empty,small,2,medium,verbal
"If two fair dice are rolled, what is probability that sum is 9?",4/36,5/36,3/36,4/6,1,medium,probability
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,hard,logic
"If every 3rd person is selected from a queue of 46, how many are selected?",15,16,16,15,1,hard,logic
"If every 3rd person is selected from a queue of 100, how many are selected?",33,34,34,33,1,hard,logic
"If 5 items cost $51, what is the cost of 13 items?",132.6,133.6,130.6,137.6,1,medium,math
"If two fair dice are rolled, what is probability that sum is 10?",3/36,4/36,2/36,3/6,1,hard,probability
"If P% of a number is 24.2 and Q% of the same number is 30.25, what is P:Q?",20:25,25:20,40:25,20:50,1,medium,math
"If you need to get min and max in one pass, time complexity is",O(n),O(log n),O(n log n),O(1),1,hard,algorithmic
"If two fair dice are rolled, what is probability that sum is 9?",4/36,5/36,3/36,4/6,1,medium,probability
"If the ratio of A:B is 89:10 and B:C is 12:2, what is A:C?",89:1.67,90:1.67,89:2.67,89:0.67,1,medium,math
"Average of five numbers is 26. If one number 18 is replaced by 44, new average is?",31.2,32.2,30.7,33.2,1,hard,math
"If a number increases by 37% and then decreases by 29%, the net change is closest to?",-2.73%,8%,66%,-1.73%,1,medium,math
"If two fair dice are rolled, what is probability that sum is 3?",2/36,3/36,1/36,2/6,1,easy,probability
"Sequence: 8, 12, 17, 21, ? What is next?",25,26,24,27,1,medium,logic
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,hard,logic
"If two fair dice are rolled, what is probability that sum is 6?",5/36,6/36,4/36,5/6,1,hard,probability
Which data structure is best for LIFO?,Queue,Stack,Heap,Graph,2,hard,algorithmic
"Find the odd one out: spinach, carrot, pear, apple",spinach,carrot,pear,apple,1,hard,logic
"A process completes a job in 30 hours. If 4 identical processes work together, how long will they take?",15.0,7.5,22.5,30.0,1,easy,math
"If two fair dice are rolled, what is probability that sum is 6?",5/36,6/36,4/36,5/6,1,hard,probability
"If P% of a number is 8.6 and Q% of the same number is 4.3, what is P:Q?",10:5,5:10,20:5,10:10,1,hard,math
Choose the best inference from: All swans in the lake are white.,All white birds are swans.,Some swans are white.,No swans are black.,All swans are black.,2,medium,verbal
"If every 3rd person is selected from a queue of 87, how many are selected?",29,30,29,28,1,hard,logic
Choose the best inference from: All swans in the lake are white.,All white birds are swans.,Some swans are white.,No swans are black.,All swans are black.,2,hard,verbal
A train travels at 59 km/h and covers a distance in 12 hours. What is the distance?,708,718,703,725,1,easy,math
"A process completes a job in 93 hours. If 2 identical processes work together, how long will they take?",23.25,11.62,34.88,46.5,1,easy,math
"Product X price increases by 18%. If original expenditure was $100, new expenditure is $?",118,130,112,124,1,hard,math
A train travels at 59 km/h and covers a distance in 12 hours. What is the distance?,708,718,703,718,1,easy,math
"If two fair dice are rolled, what is probability that sum is 4?",3/36,4/36,2/36,3/6,1,easy,probability
"If 5 items cost $175, what is the cost of 13 items?",455.0,456.0,453.0,460.0,1,easy,math
"If two fair dice are rolled, what is probability that sum is 10?",3/36,4/36,2/36,3/6,1,medium,probability
"If 5 items cost $19, what is the cost of 13 items?",49.4,50.4,47.4,54.4,1,medium,math
"If every 3rd person is selected from a queue of 37, how many are selected?",12,13,13,12,1,medium,logic
"Average of five numbers is 28. If one number 32 is replaced by 100, new average is?",41.6,42.6,41.1,43.6,1,hard,math
Choose the grammatically correct sentence:,She don't like it.,She doesn't like it.,She do not like it.,She doesn't likes it.,2,hard,verbal
"If two fair dice are rolled, what is probability that sum is 7?",6/36,7/36,5/36,6/6,1,easy,probability
"If the ratio of A:B is 79:5 and B:C is 4:6, what is A:C?",79:7.5,80:7.5,79:8.5,79:6.5,1,hard,math
"If every 3rd person is selected from a queue of 12, how many are selected?",4,5,4,3,1,easy,logic
Choose the grammatically correct sentence:,She don't like it.,She doesn't like it.,She do not like it.,She doesn't likes it.,2,easy,verbal
A train travels at 84 km/h and covers a distance in 12 hours. What is the distance?,1008,1018,1003,1026,1,easy,math
"Find the odd one out: apple, pear, banana, grape",apple,pear,banana,grape,1,hard,logic
"If two fair dice are rolled, what is probability that sum is 8?",5/36,6/36,4/36,5/6,1,easy,probability
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,medium,logic
Choose the correct sentence:,He has less books than before.,He has fewer books than before.,Both are correct,Both are incorrect,2,hard,verbal
"Find the odd one out: spinach, carrot, apple, grape",spinach,carrot,apple,grape,1,easy,logic
"If a number increases by 10% and then decreases by 1%, the net change is closest to?",8.9%,9%,11%,9.9%,1,medium,math
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,medium,logic
"Sequence: 2, 5, 8, 12, ? What is next?",15,16,14,17,1,easy,logic
"Product X price increases by 31%. If original expenditure was $100, new expenditure is $?",131,144,124,138,1,easy,math
"If two fair dice are rolled, what is probability that sum is 9?",4/36,5/36,3/36,4/6,1,easy,probability
Choose the correct sentence:,He has less books than before.,He has fewer books than before.,Both are correct,Both are incorrect,2,medium,verbal
"If 5 items cost $62, what is the cost of 13 items?",161.2,162.2,159.2,166.2,1,easy,math
"Product X price increases by 49%. If original expenditure was $100, new expenditure is $?",149,164,142,156,1,medium,math
Choose the best inference from: All swans in the lake are white.,All white birds are swans.,Some swans are white.,No swans are black.,All swans are black.,2,medium,verbal
"Find the odd one out: grape, banana, spinach, carrot",grape,banana,spinach,carrot,3,hard,logic
"Find the odd one out: grape, carrot, banana, apple",grape,carrot,banana,apple,2,medium,logic
"If 5 items cost $80, what is the cost of 13 items?",208.0,209.0,206.0,213.0,1,medium,math
Logic default,a,b,c,d,1,medium,logic
"If 5 items cost $108, what is the cost of 13 items?",280.8,281.8,278.8,285.8,1,medium,math
"If the ratio of A:B is 63:12 and B:C is 6:10, what is A:C?",63:20.0,64:20.0,63:21.0,63:19.0,1,medium,math
"If a number increases by 44% and then decreases by 13%, the net change is closest to?",25.28%,31%,57%,26.28%,1,hard,math
"Product X price increases by 50%. If original expenditure was $100, new expenditure is $?",150,165,142,158,1,medium,math
Logic default,a,b,c,d,1,medium,logic
"If the ratio of A:B is 105:12 and B:C is 9:12, what is A:C?",105:16.0,106:16.0,105:17.0,105:15.0,1,easy,math
Which data structure is best for LIFO?,Queue,Stack,Heap,Graph,2,hard,algorithmic
A train travels at 106 km/h and covers a distance in 3 hours. What is the distance?,318,328,313,331,1,medium,math
"Sequence: 9, 10, 11, 13, ? What is next?",14,15,13,16,1,medium,logic
"If a number increases by 33% and then decreases by 26%, the net change is closest to?",-1.58%,7%,59%,-0.58%,1,hard,math
"If every 3rd person is selected from a queue of 38, how many are selected?",12,13,13,12,1,medium,logic
"If the ratio of A:B is 92:3 and B:C is 2:10, what is A:C?",92:15.0,93:15.0,92:16.0,92:14.0,1,easy,math
"If you need to get min and max in one pass, time complexity is",O(n),O(log n),O(n log n),O(1),1,hard,algorithmic
Choose the best inference from: All swans in the lake are white.,All white birds are swans.,Some swans are white.,No swans are black.,All swans are black.,2,easy,verbal
"Find the odd one out: carrot, grape, spinach, apple",carrot,grape,spinach,apple,1,hard,logic
"Sequence: 2, 5, 8, 9, ? What is next?",12,13,11,14,1,hard,logic
"Sequence: 3, 4, 6, 9, ? What is next?",10,11,9,12,1,hard,logic
"If two fair dice are rolled, what is probability that sum is 8?",5/36,6/36,4/36,5/6,1,easy,probability
"Sequence: 3, 5, 6, 7, ? What is next?",9,10,8,11,1,medium,logic
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,medium,logic
"Find the odd one out: spinach, pear, grape, carrot",spinach,pear,grape,carrot,1,hard,logic
Choose the best inference from: All swans in the lake are white.,All white birds are swans.,Some swans are white.,No swans are black.,All swans are black.,2,medium,verbal
"If the ratio of A:B is 48:7 and B:C is 11:4, what is A:C?",48:2.55,49:2.55,48:3.55,48:1.55,1,hard,math
"If 5 items cost $171, what is the cost of 13 items?",444.6,445.6,442.6,449.6,1,medium,math
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,hard,logic
"If two fair dice are rolled, what is probability that sum is 5?",4/36,5/36,3/36,4/6,1,easy,probability
"If every 3rd person is selected from a queue of 79, how many are selected?",26,27,27,26,1,medium,logic
Choose the best inference from: All swans in the lake are white.,All white birds are swans.,Some swans are white.,No swans are black.,All swans are black.,2,medium,verbal
"Product X price increases by 15%. If original expenditure was $100, new expenditure is $?",115,126,109,121,1,medium,math
"If two fair dice are rolled, what is probability that sum is 7?",6/36,7/36,5/36,6/6,1,medium,probability
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,hard,logic
Logic default,a,b,c,d,1,easy,logic
"If the ratio of A:B is 74:12 and B:C is 11:9, what is A:C?",74:9.82,75:9.82,74:10.82,74:8.82,1,hard,math
"If two fair dice are rolled, what is probability that sum is 2?",1/36,2/36,1/36,1/6,1,hard,probability
"If P% of a number is 54.0 and Q% of the same number is 10.8, what is P:Q?",50:10,10:50,100:10,50:20,1,medium,math
A train travels at 109 km/h and covers a distance in 10 hours. What is the distance?,1090,1100,1085,1105,1,medium,math
"If two fair dice are rolled, what is probability that sum is 7?",6/36,7/36,5/36,6/6,1,medium,probability
"If 5 items cost $29, what is the cost of 13 items?",75.4,76.4,73.4,80.4,1,hard,math
"Sequence: 10, 12, 13, 14, ? What is next?",16,17,15,18,1,medium,logic
"If two fair dice are rolled, what is probability that sum is 7?",6/36,7/36,5/36,6/6,1,medium,probability
"If two fair dice are rolled, what is probability that sum is 6?",5/36,6/36,4/36,5/6,1,medium,probability
"If the ratio of A:B is 113:4 and B:C is 3:5, what is A:C?",113:6.67,114:6.67,113:7.67,113:5.67,1,hard,math
"If every 3rd person is selected from a queue of 66, how many are selected?",22,23,22,21,1,hard,logic
"If 5 items cost $21, what is the cost of 13 items?",54.6,55.6,52.6,59.6,1,medium,math
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,hard,logic
"If the ratio of A:B is 58:9 and B:C is 10:3, what is A:C?",58:2.7,59:2.7,58:3.7,58:1.7,1,hard,math
"If two fair dice are rolled, what is probability that sum is 12?",1/36,2/36,1/36,1/6,1,medium,probability
"If every 3rd person is selected from a queue of 33, how many are selected?",11,12,11,10,1,easy,logic
"If two fair dice are rolled, what is probability that sum is 5?",4/36,5/36,3/36,4/6,1,easy,probability
Synonym of 'quick' is:,small,empty,rapid,slow,3,hard,verbal
"If P% of a number is 84.0 and Q% of the same number is 42.0, what is P:Q?",50:25,25:50,100:25,50:50,1,medium,math
"If 5 items cost $30, what is the cost of 13 items?",78.0,79.0,76.0,83.0,1,easy,math
"If an array is sorted and then reversed, what is time complexity for worst-case search using binary search?",O(log n),O(n),O(n log n),O(1),1,medium,algorithmic
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,hard,logic
"Average of five numbers is 59. If one number 90 is replaced by 87, new average is?",58.4,59.4,57.9,60.4,1,medium,math
"If an array is sorted and then reversed, what is time complexity for worst-case search using binary search?",O(log n),O(n),O(n log n),O(1),1,easy,algorithmic
"Find the odd one out: grape, pear, banana, carrot",grape,pear,banana,carrot,4,medium,logic
"If two fair dice are rolled, what is probability that sum is 8?",5/36,6/36,4/36,5/6,1,medium,probability
"If two fair dice are rolled, what is probability that sum is 10?",3/36,4/36,2/36,3/6,1,hard,probability
"If two fair dice are rolled, what is probability that sum is 7?",6/36,7/36,5/36,6/6,1,easy,probability
"If two fair dice are rolled, what is probability that sum is 11?",2/36,3/36,1/36,2/6,1,hard,probability
